name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2023-01-01,53.8,49,51.3,53.8,45.5,50.8,39.8,66.5,0.017,100,12.5,rain,0,0,21.9,14.6,278.8,1012.3,46.6,9.3,63.2,5.4,4,,2023-01-01T07:19:48,2023-01-01T16:38:54,0.32,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-02,55.1,47.4,51.2,55.1,44.7,50.4,39.5,64.4,0.014,100,8.33,rain,0,0,12.1,8.3,252.2,1019.3,71.8,9.8,46.3,3.9,3,,2023-01-02T07:19:54,2023-01-02T16:39:45,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-03,53.4,46,49.7,53.4,43,48.8,46.7,89.3,0.332,100,29.17,rain,0,0,19.9,7.6,107.2,1014.5,94.2,5.3,20.2,1.8,1,,2023-01-03T07:19:57,2023-01-03T16:40:37,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-04,64.6,48.1,56.2,64.6,44.6,56,50.8,82.3,0.014,100,16.67,rain,0,0,17.4,8.8,190.8,1010,80,8.1,52.8,4.7,3,,2023-01-04T07:19:59,2023-01-04T16:41:31,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-05,48.3,44.6,47,47,39.4,43.9,44.8,91.9,0.03,100,16.67,rain,0,0,10.7,9.9,52.5,1013.5,100,5.3,33.8,3,2,,2023-01-05T07:19:58,2023-01-05T16:42:27,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-06,47.6,40.5,44.1,44.4,33.8,40.3,38,79.8,0.251,100,33.33,rain,0,0,23,14.1,331,1015.6,93,7.9,34.8,3,2,,2023-01-06T07:19:55,2023-01-06T16:43:24,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-07,44.2,37.3,40.8,38.7,30.4,34.7,28.2,60.9,0,0,0,,0,0,24.2,11.4,291.4,1020.7,51.7,9.9,49,4.2,3,,2023-01-07T07:19:49,2023-01-07T16:44:22,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-08,39.9,32.9,37.3,39.7,26.4,32,22.1,54.5,0,0,0,,0,0,12.8,14.3,295.7,1024.6,35.1,9.9,57.5,5,3,,2023-01-08T07:19:41,2023-01-08T16:45:22,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-09,44.2,37.7,40.1,39.3,32.5,35.2,27.5,62.2,0.007,100,8.33,rain,0,0,19.7,12.5,294.1,1014.3,52.3,9.6,55.9,4.8,3,,2023-01-09T07:19:31,2023-01-09T16:46:22,0.59,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-10,41,37.8,39.7,37.8,31.9,34.6,25.1,55.7,0,0,0,,0,0,18.3,9.9,299.7,1016.7,87.6,9.9,29.6,2.5,1,,2023-01-10T07:19:19,2023-01-10T16:47:24,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-11,39.3,35.1,37.2,34.4,26.6,31.1,22.7,55.8,0,0,0,,0,0,18.3,12,58.1,1023.3,88.3,9.9,50.3,4.4,2,,2023-01-11T07:19:05,2023-01-11T16:48:27,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-12,53.5,36.2,44.6,53.5,30.4,41.3,39.4,81.9,0.213,100,37.5,rain,0,0,27.3,15.8,102.7,1017.6,100,8.5,21.1,1.9,1,,2023-01-12T07:18:48,2023-01-12T16:49:31,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,0826W,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-13,54.3,38.9,48.4,54.3,30.5,45.6,41.3,77.1,0.143,100,16.67,rain,0,0,34.8,16.1,254.4,1002.3,92.1,8.9,32.5,2.7,2,,2023-01-13T07:18:29,2023-01-13T16:50:36,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-14,38,31.8,33.9,28.6,19.9,23.7,23,64,0,0,0,,0,0,41,19.5,355.8,1009.5,99.1,9.3,50.6,4.4,2,,2023-01-14T07:18:08,2023-01-14T16:51:42,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-15,40.1,29.9,33.9,31.7,18,23.2,17.7,52.4,0,0,0,,0,0,39.5,23.3,351.2,1015.2,54.5,9.9,70,6.2,4,,2023-01-15T07:17:44,2023-01-15T16:52:49,0.79,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-16,47.5,29.9,36.9,42.7,18.6,28.8,11.2,35.6,0,0,0,,0,0,32.2,17.7,324.1,1011.9,42.9,9.9,69.3,6.1,4,,2023-01-16T07:17:19,2023-01-16T16:53:57,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-17,46.1,35.5,41.6,45.2,29.5,38.5,16.4,36.2,0,0,0,,0,0,13.4,10.3,266.3,1006,73.1,9.9,50.5,4.4,2,,2023-01-17T07:16:51,2023-01-17T16:55:06,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-18,51.9,42.8,47.5,51.9,37.7,44,33.9,59.9,0.036,100,8.33,rain,0,0,31.4,22.3,288,1008.7,63,9.8,71.6,6.3,4,,2023-01-18T07:16:21,2023-01-18T16:56:15,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-19,44.4,39.8,41.8,41.3,33.5,37.4,35.4,78.8,0.832,100,62.5,rain,0,0,31.1,10.5,34.6,1012.4,83,6.8,13.3,1.1,1,,2023-01-19T07:15:49,2023-01-19T16:57:25,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-20,48.3,40.5,44.3,42.3,36.8,39.4,34.2,69.2,0.006,100,8.33,rain,0,0,31.3,18.2,283,1005.3,86.2,9.8,56.4,4.9,3,,2023-01-20T07:15:15,2023-01-20T16:58:35,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-21,42.7,37.1,39,37.1,29.3,33,24.7,56.3,0,0,0,,0,0,23.7,17.9,321.6,1019.5,94.3,9.9,43.1,3.7,2,,2023-01-21T07:14:39,2023-01-21T16:59:46,0,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-22,41.2,36.5,38.6,37.9,31.1,33.8,27.1,64.1,0.378,100,29.17,rain,0,0,22.8,11.4,219.6,1018.8,94.4,8.7,44.3,3.7,2,,2023-01-22T07:14:01,2023-01-22T17:00:58,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-23,38.9,35.8,37.7,33.6,24.7,29.7,32.5,82,0.503,100,70.83,rain,0,0.1,35.5,24.8,324.7,1003.9,98.7,6.6,24.1,2,1,,2023-01-23T07:13:21,2023-01-23T17:02:10,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-24,46,35.6,39.6,39.4,26.3,32.5,23,51.3,0,0,0,,0,0.1,31.1,16.9,284.8,1019.8,74.8,9.9,69.4,5.8,4,,2023-01-24T07:12:39,2023-01-24T17:03:22,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-25,52.8,35.7,40.3,52.8,27.8,35.8,30.2,68.5,0.925,100,41.67,rain,0.2,0.1,37.7,19.8,104.3,1019.6,78.6,8,27.3,2.3,2,,2023-01-25T07:11:55,2023-01-25T17:04:35,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-26,54,40.8,46,54,33,40.5,33.4,62.8,0.417,100,20.83,rain,0,0,36.6,22.7,258.5,1002.9,88.4,9.3,35.9,3,2,,2023-01-26T07:11:09,2023-01-26T17:05:48,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-27,42.1,36.3,39.1,37.1,29.8,33.3,23.1,52.8,0,0,0,,0,0,21.9,14.3,254.9,1018.3,46.6,9.9,66.9,5.7,4,,2023-01-27T07:10:21,2023-01-27T17:07:02,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-28,51.6,36.1,44.3,51.6,30.1,39.9,23.5,44.2,0,0,0,,0,0,28.2,16.8,227.2,1023.7,55.3,9.9,69.7,6.1,4,,2023-01-28T07:09:31,2023-01-28T17:08:16,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-29,50.9,41,46.9,50.9,38.2,44.4,32.3,57.3,0,0,0,,0,0,20.9,12.3,201.7,1022.9,64.6,9.9,43.4,3.6,2,,2023-01-29T07:08:39,2023-01-29T17:09:30,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-30,53.2,42.5,47.4,53.2,40.2,45.8,35.8,64.1,0,0,0,,0,0,19.7,12.4,225.3,1020.2,54.3,9.9,74.3,6.4,4,,2023-01-30T07:07:46,2023-01-30T17:10:44,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-01-31,48.2,32.2,38,47.2,23.6,32.6,25.6,62.8,0.048,100,20.83,"rain,snow",0,0,19.9,10.8,349.6,1021.6,96.6,9.2,34,2.8,1,,2023-01-31T07:06:51,2023-01-31T17:11:58,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-01,37.5,26.4,31.9,31.1,17.1,24.7,14.2,49.9,0.023,100,12.5,snow,0,0,18.3,10.6,340.2,1024.1,63.2,9.3,76.5,6.6,5,,2023-02-01T07:05:54,2023-02-01T17:13:12,0.36,"Snow, Partially cloudy",Clearing in the afternoon with snow clearing later.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-02,39.3,28.6,34.1,32.8,22.9,28.2,11,38.4,0,0,0,,0,0,21.9,14.5,237.4,1019.7,48.6,9.9,79.7,6.9,5,,2023-02-02T07:04:55,2023-02-02T17:14:26,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-03,35.3,12.1,24,26.6,-7.3,9.5,2.5,39.4,0,0,0,,0,0,41.9,30.2,297.3,1016.4,48.3,9.9,94,8.1,4,,2023-02-03T07:03:55,2023-02-03T17:15:41,0.43,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-04,26.6,4.5,14.8,16.8,-15.6,0.5,-7.1,37.2,0,0,0,,0,0,36.5,22.9,286.5,1033.8,36.2,9.9,89,7.6,4,,2023-02-04T07:02:53,2023-02-04T17:16:55,0.46,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-05,46.6,26.6,37.5,43.6,16.8,31.8,21,51.5,0,0,0,,0,0,30.5,13.5,209.4,1022,58.8,9.9,87.3,7.5,4,,2023-02-05T07:01:49,2023-02-05T17:18:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-06,51.2,35.5,42.8,51.2,28.4,38.8,28.4,57.6,0,0,0,,0,0,31.7,19.4,359.3,1016.7,58.8,9.9,80.2,6.8,5,,2023-02-06T07:00:44,2023-02-06T17:19:23,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-07,42.1,29.6,36.2,36.3,23,30.4,22.5,57.9,0.014,100,8.33,rain,0,0,18.3,10.5,127.9,1025.2,45,9.9,81.4,6.8,3,,2023-02-07T06:59:37,2023-02-07T17:20:38,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-08,53.1,38.4,45.6,53.1,33.6,42.1,28.5,53.9,0.007,100,8.33,rain,0,0,30.8,17.4,289.2,1022,37.6,9.3,96.3,8.2,5,,2023-02-08T06:58:29,2023-02-08T17:21:52,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-09,52.8,38.7,46.1,52.8,38.7,45.4,35.5,67,0,0,0,,0,0,20.8,11.1,142.9,1020.9,74.4,9.7,37.5,3.2,2,,2023-02-09T06:57:19,2023-02-09T17:23:05,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-10,57.7,46.9,53.7,57.7,41.2,52.6,36,54.1,0,0,0,,0,0,31.1,20.8,272,1011.7,44,9.9,97.4,8.3,5,,2023-02-10T06:56:08,2023-02-10T17:24:19,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-11,45.5,36.9,41.3,41.5,28.1,35.7,19.5,41.5,0,0,0,,0,0,32.9,17.7,311.2,1023.3,32.3,9.9,98.1,8.3,5,,2023-02-11T06:54:56,2023-02-11T17:25:33,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-12,47,38.2,42,47,33,39.1,23,47.2,0.014,100,8.33,rain,0,0,17.2,11.9,42,1017.7,64.3,9.9,69.7,6,3,,2023-02-12T06:53:42,2023-02-12T17:26:46,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-13,56.2,40.6,47.8,56.2,33.5,44.4,17.6,31.8,0.008,100,4.17,rain,0,0,27.7,14.6,322.2,1002.9,60.5,9.9,95,8.2,5,,2023-02-13T06:52:27,2023-02-13T17:27:59,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-14,53.4,41.5,47.5,53.4,34,43.7,22.4,37.7,0,0,0,,0,0,31.4,17.3,291.7,1015.8,14.3,9.9,102.1,8.7,5,,2023-02-14T06:51:10,2023-02-14T17:29:12,0.81,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-15,60.3,46.4,53.5,60.3,42.2,52.1,35.8,51.2,0,0,0,,0,0,31.1,20,184.6,1016.9,55.3,9.9,94.7,8.1,5,,2023-02-15T06:49:53,2023-02-15T17:30:24,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-16,66.3,55.2,58.8,66.3,55.2,58.8,42.6,56.5,0.06,100,12.5,rain,0,0,24.2,12.6,223.3,1014.4,66.7,9.6,68.1,6,3,,2023-02-16T06:48:34,2023-02-16T17:31:37,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-17,59.4,32.9,49.7,59.4,21.4,46.4,41.9,75.2,0.19,100,37.5,rain,0,0,36.2,26,287.5,1005.4,87.9,8.6,23.6,2.1,1,,2023-02-17T06:47:14,2023-02-17T17:32:49,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-18,42.3,28.2,35.3,37.1,17.5,26.7,13.7,41.7,0,0,0,,0,0,35.6,23.3,282,1024.9,35.7,9.9,109.4,9.5,5,,2023-02-18T06:45:53,2023-02-18T17:34:01,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-19,47.7,37.3,42.5,43.7,31.5,37.7,27.9,56.8,0,0,0,,0,0,33.8,23.4,186.5,1023.9,48.4,9.9,104.6,9,4,,2023-02-19T06:44:30,2023-02-19T17:35:12,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-20,60.3,45.5,51.5,60.3,41.5,49.7,37.3,62.4,0,0,0,,0,0,23.3,15.2,251.7,1006.8,59.1,9.7,83.7,7.2,5,,2023-02-20T06:43:07,2023-02-20T17:36:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-21,49.1,37.1,42.1,45.8,29.4,37.7,33.8,73.2,0.245,100,33.33,rain,0,0.1,33.3,12.5,20.6,1004.7,82.6,8.9,46.9,4.1,2,,2023-02-21T06:41:43,2023-02-21T17:37:34,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-22,43.5,37.5,39.9,42.3,30.1,34.9,26.5,60.3,0.168,100,20.83,rain,0,0,16.1,11.4,352.8,1018,69.7,9.3,54.3,4.8,2,,2023-02-22T06:40:17,2023-02-22T17:38:45,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-23,43.1,38,39.5,38.6,30.4,33.5,36,87.1,0.024,100,8.33,rain,0,0,21.9,12.8,68.1,1013,100,6.9,49.3,4.3,2,,2023-02-23T06:38:51,2023-02-23T17:39:55,0.11,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-24,45.7,27.5,39.8,42.2,16.5,32.1,23.3,55,0,0,0,,0,0,38.1,23,317.6,1022.4,50,8.4,118,10.1,6,,2023-02-24T06:37:24,2023-02-24T17:41:05,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-25,32.5,23.3,27.5,29,12.3,21.2,13,54.4,0,0,0,"rain,snow",0,0.1,21.9,19.7,0.3,1029,70.1,9.8,75.7,6.5,3,,2023-02-25T06:35:55,2023-02-25T17:42:15,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-26,49.9,28.4,37.3,45.1,23.2,32.7,25.7,63.8,0,0,0,,0,0.1,25.3,13.4,239.6,1012.9,35.6,8.9,88.7,7.8,5,,2023-02-26T06:34:27,2023-02-26T17:43:24,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-27,42.4,32.9,37.7,39.3,23.7,31.3,20.4,50.9,0.21,100,12.5,"rain,snow",0,0.2,28.9,14.2,56.4,1013.1,51.6,8.7,112,9.6,5,,2023-02-27T06:32:57,2023-02-27T17:44:33,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-02-28,37.7,33.1,35.1,33.7,21.8,28,31.7,87.5,0.379,100,66.67,"rain,snow",3.1,1.7,28.9,19,36.7,1007.8,88.5,4.8,41.4,3.5,2,,2023-02-28T06:31:26,2023-02-28T17:45:42,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-01,43.3,33.7,39.3,38.6,28.1,33.9,29.9,69.6,0.009,100,16.67,rain,0,1.3,24.2,14.6,100.3,1018.5,68.4,8.9,101.6,8.8,5,,2023-03-01T06:29:55,2023-03-01T17:46:50,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-02,53.2,39.4,44.6,53.2,33.2,40.9,35.4,73.2,0,0,0,,0,0.5,29.6,20.7,340.5,1006.8,81.1,5.6,77.7,6.5,4,,2023-03-02T06:28:23,2023-03-02T17:47:59,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-03,44.9,36.8,40.6,41.1,31.9,35.4,25.8,56.5,0.073,100,12.5,rain,0,0.1,31.1,17,73.4,1015.1,65.7,9.6,87.4,7.6,3,,2023-03-03T06:26:50,2023-03-03T17:49:07,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-04,44.6,39.3,41.9,39.2,30.6,34.9,35.6,78.6,1.013,100,41.67,rain,0,0.1,37.8,24.4,14.1,1002.1,97.5,7.8,70.9,6.1,3,,2023-03-04T06:25:17,2023-03-04T17:50:14,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-05,52.5,38.2,44.5,52.5,31.8,39.6,27.9,52.7,0,0,0,,0,0,34.4,20.2,306.4,1019.2,63.8,9.9,112.7,9.9,5,,2023-03-05T06:23:43,2023-03-05T17:51:21,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-06,51.5,40.2,46.2,51.5,33,42,21.6,39.4,0,0,0,,0,0,24.6,16.2,308.1,1018.2,39.6,9.9,142.6,12.4,6,,2023-03-06T06:22:08,2023-03-06T17:52:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-07,46.9,32.9,39.5,39.8,25.2,31.3,19.6,48.6,0.056,100,20.83,"rain,snow",0.1,0.3,40.8,27.1,319.7,1010.5,74.9,8.9,151.7,13.1,7,,2023-03-07T06:20:33,2023-03-07T17:53:35,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-08,46.6,31.2,38.4,40.7,19.5,29.8,21,49.7,0,0,0,,0,0.1,33.3,23.6,339.3,1019.8,38.6,9.9,142.1,12.3,7,,2023-03-08T06:18:58,2023-03-08T17:54:42,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-09,50.4,33.9,41.2,50.4,24.8,34.5,24.2,51.5,0,0,0,,0,0,33.1,17.2,342.4,1021.3,25.9,9.9,154.5,13.4,7,,2023-03-09T06:17:22,2023-03-09T17:55:48,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-10,44.2,35.1,40.3,41,30.1,35.6,29,64.4,0.284,100,20.83,rain,0,0,16.1,10.7,57.4,1014.7,75.2,9.2,78.6,6.9,3,,2023-03-10T06:15:45,2023-03-10T17:56:54,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-11,43.1,35.9,40.2,37.2,28.6,33.1,32.8,75.8,0.446,100,50,rain,0,0,25.7,15.9,14.7,1007.8,97.2,8.4,58.8,5.3,3,,2023-03-11T06:14:08,2023-03-11T17:57:59,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-12,45.6,34.3,40.1,42.2,27.2,35.1,25.6,57.4,0,0,0,,0,0,19.7,12.1,38,1016.2,44.1,9.9,138.9,11.6,5,,2023-03-12T07:12:31,2023-03-12T18:59:05,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-03-13,44.3,38.8,41.4,38.9,33.6,35.5,36.9,83.9,0.472,100,75,rain,0,0,31.1,15.6,66.9,1012,100,5.8,39.8,3.5,2,,2023-03-13T07:10:53,2023-03-13T19:00:10,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
